名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
山口舞,岡山シーガルズ,2,40,44,9,73,303,135,15,44.6,39.6,0,0,0,11,104,2,4,17,6,4,0,148,,1.85,0.15,5.0,66.7
山岸あかね,埼玉上尾メディックス,7,33,51,6,84,0,0,0,,,0,0,0,0,0,0,0,0,269,168,0,0,,0.0,0.0,,62.5
山田侑樹,トヨタ車体クインシーズ,9,14,23,2,2,0,0,0,,,0,0,0,0,2,0,1,1,0,0,0,0,,0.0,0.0,0.0,
山田真里,トヨタ車体クインシーズ,12,36,49,8,58,58,15,5,25.9,17.2,3,0,0,3,65,2,3,28,229,112,0,20,0.0,0.26,0.05,12.7,48.9
山田美花,デンソーエアリービーズ,13,31,49,8,27,0,0,0,,,0,0,0,0,0,0,0,0,76,44,0,0,,0.0,0.0,,57.9
岩坂名奈,久光製薬スプリングス,4,53,31,15,84,255,123,11,48.2,43.9,1,0,0,51,305,11,15,127,19,13,0,185,0.0,1.46,0.61,12.8,68.4
岩崎紗也加,NECレッドロケッツ,10,37,47,8,60,0,0,0,,,0,0,0,0,2,0,1,0,106,55,0,0,,0.0,0.0,-12.5,51.9
峯村沙紀,東レアローズ,6,55,25,17,27,71,18,6,25.4,16.9,1,0,0,7,48,4,5,16,114,68,0,29,0.0,0.67,0.26,14.1,59.6
島村春世,NECレッドロケッツ,7,37,47,8,84,577,222,22,38.5,34.7,8,1,1,41,273,18,20,109,23,12,0,281,12.5,2.64,0.49,14.7,52.2
川島亜依美,岡山シーガルズ,28,40,44,9,74,209,80,6,38.3,35.4,1,0,0,19,248,10,14,109,6,3,0,109,0.0,1.08,0.26,13.6,50.0
川村小捺,日立リヴァーレ,15,3,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川畑夏希,岡山シーガルズ,24,13,15,3,18,23,6,0,26.1,26.1,0,0,0,0,11,1,0,2,36,18,0,7,,0.33,0.0,13.6,50.0
川畑愛希,岡山シーガルズ,8,40,44,9,74,717,228,22,31.8,28.7,3,1,0,14,200,12,0,67,234,125,0,254,33.3,3.08,0.19,14.4,53.4
平松美有紀,トヨタ車体クインシーズ,5,36,49,8,85,358,159,17,44.4,39.7,1,0,0,41,182,2,18,55,30,21,0,202,0.0,1.87,0.48,6.2,70.0
座安琴希,久光製薬スプリングス,10,53,31,15,46,0,0,0,,,0,0,0,0,0,0,0,0,145,94,0,0,,0.0,0.0,,64.8
引地舞,日立リヴァーレ,6,32,21,9,30,0,0,0,,,0,0,0,1,49,6,8,20,0,0,0,7,,0.0,0.03,18.4,
志智真梨奈,トヨタ車体クインシーズ,19,36,49,8,17,25,6,4,24.0,8.0,0,0,0,1,27,1,1,10,47,19,0,8,,0.35,0.06,12.0,40.4
戸江真奈,久光製薬スプリングス,18,53,31,15,84,0,0,0,,,0,0,0,0,0,0,0,0,148,90,0,0,,0.0,0.0,,60.8
斎田杏,日立リヴァーレ,17,40,33,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
新鍋理沙,久光製薬スプリングス,3,53,31,15,81,755,278,41,36.8,31.4,36,8,5,30,347,20,39,136,297,218,0,328,22.2,3.43,0.37,12.8,73.4
有田沙織,埼玉上尾メディックス,6,20,26,4,17,31,10,1,32.3,29.0,2,0,0,0,13,0,0,4,21,11,0,10,0.0,0.59,0.0,7.7,52.4
木村沙織,東レアローズ,3,55,25,17,80,786,269,38,34.2,29.4,51,15,2,25,391,27,31,147,359,244,0,321,29.4,3.36,0.31,14.3,68.0
木村美里,東レアローズ,8,55,25,17,80,0,0,0,,,0,0,0,0,0,0,0,0,444,250,0,0,,0.0,0.0,,56.3
杉原若葉,東レアローズ,16,55,25,17,37,9,2,2,22.2,0.0,5,0,1,1,55,7,10,21,2,0,0,10,0.0,0.05,0.03,17.7,0.0
村永奈央,トヨタ車体クインシーズ,13,15,15,5,15,59,17,0,28.8,28.8,3,1,0,5,42,2,1,16,79,37,0,24,33.3,1.13,0.33,13.7,46.8
東原枝里,日立リヴァーレ,16,46,35,13,3,2,0,1,0.0,-50.0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
松崎美歌,NECレッドロケッツ,9,4,9,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
松本亜弥華,埼玉上尾メディックス,8,33,51,6,62,161,59,10,36.6,30.4,2,0,0,16,144,7,13,50,6,4,0,82,0.0,0.95,0.26,11.3,66.7
林日向子,岡山シーガルズ,17,15,20,2,8,12,5,2,41.7,25.0,0,0,0,1,7,0,0,0,11,4,0,6,,0.62,0.12,0.0,36.4
柳田光綺,NECレッドロケッツ,15,8,14,2,21,114,29,9,25.4,17.5,32,4,6,3,50,3,4,23,2,1,0,35,12.5,1.38,0.14,15.5,50.0
栄絵里香,久光製薬スプリングス,11,37,17,11,23,0,0,0,,,0,0,0,0,24,0,0,3,0,0,0,0,,0.0,0.0,3.1,
栗原恵,日立リヴァーレ,11,42,29,12,16,77,17,4,22.1,16.9,2,0,0,4,20,0,4,6,14,4,0,21,0.0,1.06,0.25,2.5,28.6
森田夕貴,岡山シーガルズ,19,6,11,1,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
森田麻実子,デンソーエアリービーズ,10,31,49,8,75,20,6,0,30.0,30.0,0,0,0,3,199,9,14,54,5,0,0,18,,0.08,0.04,9.5,0.0
森谷史佳,久光製薬スプリングス,14,35,23,9,18,9,3,0,33.3,33.3,0,0,0,1,33,2,2,19,1,0,0,6,,0.17,0.06,18.9,0.0
楢崎慈恵,岡山シーガルズ,27,5,3,1,3,0,0,0,,,0,0,0,0,0,0,0,0,3,0,0,0,,0.0,0.0,,0.0
榊原美沙都,トヨタ車体クインシーズ,8,4,6,0,8,0,0,0,,,0,0,0,0,0,0,0,0,26,20,0,0,,0.0,0.0,,76.9
橋本涼加,デンソーエアリービーズ,14,31,49,8,39,46,16,2,34.8,30.4,0,0,0,2,26,1,1,7,0,0,0,19,,0.41,0.05,9.6,
橋本直子,日立リヴァーレ,4,46,35,13,39,4,3,0,75.0,75.0,0,0,0,0,62,3,3,21,0,0,0,6,,0.08,0.0,12.1,
比金桃子,トヨタ車体クインシーズ,18,36,49,8,7,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
水田祐未,久光製薬スプリングス,5,53,31,15,83,236,93,3,39.4,38.1,0,0,0,26,183,4,5,58,15,13,0,123,,1.12,0.31,9.4,86.7
泉夏子,岡山シーガルズ,55,40,44,9,72,352,134,17,38.1,33.2,32,6,4,16,161,7,16,50,189,117,0,157,18.8,1.86,0.22,9.6,61.9
浅津ゆうこ,岡山シーガルズ,6,40,44,9,79,387,140,21,36.2,30.7,27,4,6,18,131,6,2,46,125,57,0,164,14.8,1.77,0.23,13.0,45.6
渡邊久惠,日立リヴァーレ,9,46,35,13,76,903,303,46,33.6,28.5,155,44,8,19,241,6,14,101,59,26,0,328,28.4,3.99,0.25,11.5,44.1
熊本比奈,トヨタ車体クインシーズ,2,36,49,8,20,61,24,2,39.3,36.1,0,0,0,2,40,0,1,12,106,45,0,26,,1.2,0.1,6.9,42.5
田代佳奈美,東レアローズ,7,55,25,17,75,34,17,0,50.0,50.0,2,0,0,16,274,8,19,107,4,0,0,41,0.0,0.23,0.21,10.9,0.0
田原愛里,デンソーエアリービーズ,17,31,49,8,43,7,3,0,42.9,42.9,0,0,0,1,73,4,7,22,0,0,0,8,,0.07,0.02,10.6,
白井美沙紀,東レアローズ,19,55,25,17,23,6,1,0,16.7,16.7,0,0,0,1,49,3,7,18,0,0,0,5,,0.04,0.04,11.7,
白垣里紗,NECレッドロケッツ,1,37,47,8,83,727,239,46,32.9,26.5,103,28,10,25,321,12,12,129,168,66,0,276,27.2,2.88,0.3,12.9,39.3
石井優希,久光製薬スプリングス,6,53,31,15,80,877,305,38,34.8,30.4,40,14,3,32,279,11,16,112,899,574,0,348,35.0,3.81,0.4,12.5,63.8
石井里沙,デンソーエアリービーズ,5,31,49,8,80,246,84,9,34.1,30.5,6,0,0,24,263,9,4,81,251,114,0,117,0.0,1.05,0.3,10.7,45.4
石橋里紗,久光製薬スプリングス,23,50,31,14,39,0,0,0,,,0,0,0,0,60,4,3,23,0,0,0,4,,0.0,0.0,15.0,
石田瑞穂,デンソーエアリービーズ,22,26,41,7,62,563,174,34,30.9,24.9,60,11,7,16,237,9,15,89,108,63,0,199,18.3,2.81,0.26,11.6,58.3
竹内あか里,トヨタ車体クインシーズ,11,36,49,8,63,58,15,3,25.9,20.7,0,0,0,6,116,4,7,42,6,6,0,25,,0.24,0.1,11.0,100.0
竹内彩,トヨタ車体クインシーズ,7,27,43,5,12,52,13,3,25.0,19.2,3,0,0,0,21,0,2,6,26,11,0,13,0.0,1.08,0.0,4.8,42.3
竹田江里,埼玉上尾メディックス,5,15,26,3,8,0,0,0,,,0,0,0,0,11,2,2,4,0,0,0,2,,0.0,0.0,22.7,
竹田沙希,トヨタ車体クインシーズ,1,32,41,7,63,327,112,12,34.3,30.6,0,0,0,8,155,5,9,62,334,209,0,125,,1.78,0.13,11.8,62.6
竹田麻衣,岡山シーガルズ,9,6,2,2,1,0,0,0,,,0,0,0,0,1,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0
篠原沙耶香,NECレッドロケッツ,17,10,8,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
荒木夕貴,埼玉上尾メディックス,19,33,51,6,68,406,118,26,29.1,22.7,12,1,0,12,184,8,10,72,395,166,0,138,8.3,1.74,0.18,12.8,42.0
荒木絵里香,埼玉上尾メディックス,12,33,51,6,84,374,169,35,45.2,35.8,0,0,0,77,270,15,13,131,19,9,0,261,,2.01,0.92,16.5,47.4
藤田夏未,トヨタ車体クインシーズ,4,36,49,8,85,20,11,0,55.0,55.0,0,0,0,4,287,18,16,115,4,0,0,33,,0.13,0.05,14.9,0.0
衛藤智美,トヨタ車体クインシーズ,6,36,49,8,77,154,64,5,41.6,38.3,1,1,0,14,263,10,4,92,25,17,0,88,100.0,0.83,0.18,12.2,68.0
辻彩乃,トヨタ車体クインシーズ,20,7,9,2,3,0,0,0,,,0,0,0,0,3,0,1,1,0,0,0,0,,0.0,0.0,0.0,
近江あかり,NECレッドロケッツ,6,37,47,8,70,294,116,18,39.5,33.3,14,3,1,11,207,9,6,66,385,234,0,136,21.4,1.66,0.16,11.6,60.8
近藤志歩,埼玉上尾メディックス,4,33,51,6,73,438,122,20,27.9,23.3,14,3,0,8,166,3,8,47,497,251,0,133,21.4,1.67,0.11,7.7,50.5
迫田さおり,東レアローズ,4,55,25,17,80,907,355,59,39.1,32.6,171,79,16,18,214,6,12,80,0,0,0,379,46.2,4.44,0.22,10.7,
遠井萌仁,日立リヴァーレ,12,46,35,13,66,351,123,16,35.0,30.5,17,4,4,17,181,3,15,74,573,337,0,143,23.5,1.86,0.26,9.8,58.8
野本梨佳,久光製薬スプリングス,8,53,31,15,52,176,64,12,36.4,29.5,4,1,0,7,41,2,2,16,101,55,0,73,25.0,1.23,0.13,13.4,54.5
野村明日香,東レアローズ,13,49,22,15,23,9,3,1,33.3,22.2,0,0,0,2,32,1,2,13,0,0,0,6,,0.13,0.09,11.7,
金森晴香,久光製薬スプリングス,21,15,8,5,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
金田修佳,岡山シーガルズ,18,40,44,9,71,446,132,22,29.6,24.7,6,1,0,6,176,5,6,55,390,211,0,143,16.7,1.86,0.08,9.8,54.1
鈴木裕子,デンソーエアリービーズ,6,16,25,4,17,3,0,1,0.0,-33.3,0,0,0,1,14,0,0,3,0,0,0,1,,0.0,0.06,5.4,
鍋谷友理枝,デンソーエアリービーズ,15,31,49,8,80,610,226,35,37.0,31.3,23,3,1,37,295,12,17,123,625,347,0,275,13.0,2.82,0.46,13.1,55.5
長岡望悠,久光製薬スプリングス,1,53,31,15,83,1008,417,61,41.4,35.3,291,123,19,34,246,6,25,68,26,17,0,457,42.3,5.02,0.41,6.8,65.4
間橋香織,日立リヴァーレ,1,1,3,0,3,18,4,3,22.2,5.6,3,0,2,0,4,0,1,1,2,0,0,4,0.0,1.33,0.0,0.0,0.0
青柳京古,埼玉上尾メディックス,11,31,45,6,19,62,16,7,25.8,14.5,8,1,0,3,15,1,0,5,1,0,0,20,12.5,0.84,0.16,15.0,0.0
須藤みゆき,日立リヴァーレ,13,13,11,4,13,0,0,0,,,0,0,0,0,20,0,7,7,0,0,0,0,,0.0,0.0,0.0,
香野晶子,岡山シーガルズ,11,40,44,9,73,239,94,11,39.3,34.7,0,0,0,29,232,15,6,94,4,2,0,138,,1.29,0.4,15.9,50.0
高橋沙織,トヨタ車体クインシーズ,3,30,44,6,63,447,179,28,40.0,33.8,70,31,9,20,202,8,13,77,431,223,0,207,44.3,2.84,0.32,11.9,51.7
高田ありさ,東レアローズ,2,55,25,17,72,489,174,41,35.6,27.2,2,0,0,14,268,10,22,96,574,352,0,198,0.0,2.42,0.19,10.6,61.3
高野由里加,岡山シーガルズ,21,5,9,1,3,4,0,1,0.0,-25.0,0,0,0,1,2,0,0,0,1,1,0,1,,0.0,0.33,0.0,100.0
鳥越未玖,NECレッドロケッツ,8,37,47,8,82,0,0,0,,,0,0,0,0,4,0,0,1,375,233,0,0,,0.0,0.0,6.2,62.1
