得点,失点,+/-,L-B,相手状況,相手番号,相手選手,相手交代番号,相手交代選手,状況,番号,選手,交代番号,交代選手
15,16,-1,Behind,レシーブ成功(優),12,山内,,,,,,,
15,16,-1,Behind,,12,山内,,,,,,,
15,16,-1,Behind,,,,,,,4,吉岡,,
15,16,-1,Behind,,,,,,,8,及川,,
15,16,-1,Behind,,4,柳田,,,,,,,
15,16,-1,Behind,,4,柳田,,,,,,,
15,16,-1,Behind,,4,柳田,,,,,,,
15,16,-1,Behind,,,,,,アタック失敗,6,渡邊,,
15,16,-1,Behind,,,,,,,チャレンジ失敗,,,
16,16,0,Tie,,得点,,,,,,,,
16,16,0,Tie,サーブ,4,柳田,,,,,,,
16,16,0,Tie,,,,,,レシーブ成功(優),10,西村,,
16,16,0,Tie,,,,,,,8,及川,,
16,16,0,Tie,,,,,,,4,吉岡,,
16,16,0,Tie,ブロック成功,12,山内,,,,,,,
17,16,1,Lead,,得点,,,,,,,,
17,16,1,Lead,サーブ,4,柳田,,,,,,,
17,16,1,Lead,,,,,,レシーブ成功(良),10,西村,,
17,16,1,Lead,,,,,,,4,吉岡,,
17,16,1,Lead,,12,山内,,,,,,,
17,16,1,Lead,,,,,,,6,渡邊,,
17,16,1,Lead,,,,,,その他ミス,6,渡邊,,
18,16,2,Lead,,得点,,,,,,,,
18,16,2,Lead,サーブ,4,柳田,,,,,,,
18,16,2,Lead,,,,,,レシーブ成功(良),10,西村,,
18,16,2,Lead,,,,,,アタック成功:,4,吉岡,,
18,17,1,Lead,,,,,,,得点,,,
18,17,1,Lead,,,,,,サーブ,8,及川,,
18,17,1,Lead,レシーブ成功(優),2,古賀,,,,,,,
18,17,1,Lead,アタック成功:,2,古賀,,,,,,,
19,17,2,Lead,,得点,,,,,,,,
19,17,2,Lead,サーブミス,13,山田,,,,,,,
19,18,1,Lead,,,,,,,得点,,,
19,18,1,Lead,,,,,,サーブ,6,渡邊,,
19,18,1,Lead,レシーブ成功(優),2,古賀,,,,,,,
19,18,1,Lead,アタック成功:,1,島村,,,,,,,
20,18,2,Lead,,得点,,,,,,,,
20,18,2,Lead,サーブ,12,山内,,,,,,,
20,18,2,Lead,,,,,,レシーブ失敗,10,西村,,
20,18,2,Lead,,,,,,アタック失敗,4,吉岡,,
21,18,3,Lead,,得点,,,,,,,,
21,18,3,Lead,,,,,,,タイムアウト,,,
21,18,3,Lead,サーブ,12,山内,,,,,,,
21,18,3,Lead,,,,,,レシーブ成功(良),4,吉岡,,
21,18,3,Lead,,,,,,,4,吉岡,,
21,18,3,Lead,,,,,,,12,居村,,
21,18,3,Lead,,2,古賀,,,,,,,
21,18,3,Lead,アタック成功:,1,島村,,,,,,,
22,18,4,Lead,,得点,,,,,,,,
22,18,4,Lead,,,,,,メンバー交代:,IN:5,宇賀神,OUT:6,渡邊
22,18,4,Lead,,,,,,メンバー交代:,IN:28,川島,OUT:14,宮下(遥)
22,18,4,Lead,サーブ,12,山内,,,,,,,
22,18,4,Lead,,,,,,レシーブ成功(優),4,吉岡,,
22,18,4,Lead,,,,,,,12,居村,,
22,18,4,Lead,,,,,,,28,川島,,
22,18,4,Lead,,2,古賀,,,,,,,
22,18,4,Lead,,,,,,,4,吉岡,,
22,18,4,Lead,アタック成功:,1,島村,,,,,,,
23,18,5,Lead,,得点,,,,,,,,
23,18,5,Lead,サービスエース,12,山内,,,,,,,
23,18,5,Lead,,,,,,レシーブ失敗,4,吉岡,,
24,18,6,Lead,,得点,,,,,,,,
24,18,6,Lead,サービスエース,12,山内,,,,,,,
24,18,6,Lead,,,,,,レシーブ失敗,10,西村,,
25,18,7,Lead,,得点,,,,,,,,
