得点,失点,+/-,L-B,相手状況,相手番号,相手選手,相手交代番号,相手交代選手,状況,番号,選手,交代番号,交代選手
3,6,-3,Behind,レシーブ成功(優),1,山田,,,,,,,
3,6,-3,Behind,,22,高梨,,,,,,,
3,6,-3,Behind,アタック成功:,22,高梨,,,,,,,
4,6,-2,Behind,,得点,,,,,,,,
4,6,-2,Behind,サーブミス,11,傳田,,,,,,,
4,7,-3,Behind,,,,,,,得点,,,
4,7,-3,Behind,,,,,,サーブミス,3,小野,,
5,7,-2,Behind,,得点,,,,,,,,
5,7,-2,Behind,サーブ,5,前田,,,,,,,
5,7,-2,Behind,,,,,,レシーブ成功(優),10,藤中,,
5,7,-2,Behind,,,,,,アタック成功:,12,塩田,,
5,8,-3,Behind,,,,,,,得点,,,
5,8,-3,Behind,,,,,,,テクニカルタイムアウト,,,
5,8,-3,Behind,,,,,,サーブ,19,栗山,,
5,8,-3,Behind,レシーブ成功(良),22,高梨,,,,,,,
5,8,-3,Behind,,22,高梨,,,,,,,
5,8,-3,Behind,,,,,,アタック成功:,9,大宅,,
5,9,-4,Behind,,,,,,,得点,,,
5,9,-4,Behind,,,,,,サーブ,19,栗山,,
5,9,-4,Behind,レシーブ成功(優),22,高梨,,,,,,,
5,9,-4,Behind,アタック成功:,22,高梨,,,,,,,
6,9,-3,Behind,,得点,,,,,,,,
6,9,-3,Behind,サーブ,22,高梨,,,,,,,
6,9,-3,Behind,,,,,,レシーブ成功(優),10,藤中,,
6,9,-3,Behind,,,,,,アタック成功:,10,藤中,,
6,10,-4,Behind,,,,,,,得点,,,
6,10,-4,Behind,,,,,,サーブ,8,柳田,,
6,10,-4,Behind,レシーブ成功(優),24,小川,,,,,,,
6,10,-4,Behind,アタック成功:,6,近,,,,,,,
7,10,-3,Behind,,得点,,,,,,,,
7,10,-3,Behind,サーブミス,6,近,,,,,,,
7,11,-4,Behind,,,,,,,得点,,,
7,11,-4,Behind,,,,,,サーブ,12,塩田,,
7,11,-4,Behind,レシーブ成功(良),22,高梨,,,,,,,
7,11,-4,Behind,アタック成功:,3,クレク,,,,,,,
8,11,-3,Behind,,得点,,,,,,,,
8,11,-3,Behind,サーブ,3,クレク,,,,,,,
8,11,-3,Behind,,,,,,レシーブ成功(優),8,柳田,,
8,11,-3,Behind,,,,,,アタック成功:,19,栗山,,
8,12,-4,Behind,,,,,,,得点,,,
8,12,-4,Behind,,,,,,サーブミス,9,大宅,,
9,12,-3,Behind,,得点,,,,,,,,
9,12,-3,Behind,サーブ,1,山田,,,,,,,
9,12,-3,Behind,,,,,,レシーブ成功(良),1,鶴田,,
9,12,-3,Behind,,,,,,,19,栗山,,
9,12,-3,Behind,,22,高梨,,,,,,,
9,12,-3,Behind,,,,,,,19,栗山,,
9,12,-3,Behind,,22,高梨,,,,,,,
9,12,-3,Behind,,,,,,ブロック成功,3,小野,,
9,13,-4,Behind,,,,,,,得点,,,
9,13,-4,Behind,,,,,,サーブ,10,藤中,,
9,13,-4,Behind,レシーブ成功(優),1,山田,,,,,,,
9,13,-4,Behind,,11,傳田,,,,,,,
9,13,-4,Behind,,,,,,アタック成功:,19,栗山,,
9,14,-5,Behind,,,,,,,得点,,,
9,14,-5,Behind,,タイムアウト,,,,,,,,
9,14,-5,Behind,,,,,,サーブ,10,藤中,,
9,14,-5,Behind,レシーブ成功(良),22,高梨,,,,,,,
9,14,-5,Behind,,3,クレク,,,,,,,
9,14,-5,Behind,,,,,,ブロック成功,8,柳田,,
9,15,-6,Behind,,,,,,,得点,,,
9,15,-6,Behind,,,,,,サーブ,10,藤中,,
9,15,-6,Behind,レシーブ成功(優),1,山田,,,,,,,
9,15,-6,Behind,アタック成功:,22,高梨,,,,,,,
10,15,-5,Behind,,得点,,,,,,,,
10,15,-5,Behind,サーブ,11,傳田,,,,,,,
10,15,-5,Behind,,,,,,レシーブ成功(良),8,柳田,,
10,15,-5,Behind,,,,,,,8,柳田,,
10,15,-5,Behind,ブロック成功,5,前田,,,,,,,
11,15,-4,Behind,,得点,,,,,,,,
11,15,-4,Behind,サーブミス,11,傳田,,,,,,,
11,16,-5,Behind,,,,,,,得点,,,
11,16,-5,Behind,,,,,,,テクニカルタイムアウト,,,
11,16,-5,Behind,,,,,,サーブ,3,小野,,
11,16,-5,Behind,レシーブ成功(優),6,近,,,,,,,
11,16,-5,Behind,,22,高梨,,,,,,,
11,16,-5,Behind,,,,,,,12,塩田,,
11,16,-5,Behind,アタック成功:,3,クレク,,,,,,,
12,16,-4,Behind,,得点,,,,,,,,
12,16,-4,Behind,サーブ,5,前田,,,,,,,
12,16,-4,Behind,,,,,,レシーブ失敗,10,藤中,,
12,16,-4,Behind,,,,,,,19,栗山,,
12,16,-4,Behind,アタック成功:,22,高梨,,,,,,,
13,16,-3,Behind,,得点,,,,,,,,
13,16,-3,Behind,サーブ,5,前田,,,,,,,
13,16,-3,Behind,,,,,,レシーブ失敗,10,藤中,,
13,16,-3,Behind,,22,高梨,,,,,,,
13,16,-3,Behind,,,,,,,8,柳田,,
13,16,-3,Behind,,,,,,,19,栗山,,
13,16,-3,Behind,,,,,,アタック失敗,19,栗山,,
13,16,-3,Behind,,,,,,,チャレンジ失敗,,,
14,16,-2,Behind,,得点,,,,,,,,
14,16,-2,Behind,サーブ,5,前田,,,,,,,
14,16,-2,Behind,,,,,,レシーブ失敗,8,柳田,,
14,16,-2,Behind,,3,クレク,,,,,,,
14,16,-2,Behind,,,,,,アタック成功:,8,柳田,,
14,17,-3,Behind,,,,,,,得点,,,
14,17,-3,Behind,,,,,,サーブ,19,栗山,,
14,17,-3,Behind,レシーブ成功(優),1,山田,,,,,,,
14,17,-3,Behind,アタック成功:,22,高梨,,,,,,,
15,17,-2,Behind,,得点,,,,,,,,
15,17,-2,Behind,サーブ,22,高梨,,,,,,,
15,17,-2,Behind,,,,,,レシーブ成功(優),10,藤中,,
15,17,-2,Behind,,,,,,,8,柳田,,
15,17,-2,Behind,アタック成功:,3,クレク,,,,,,,
16,17,-1,Behind,,得点,,,,,,,,
16,17,-1,Behind,,,,,,,タイムアウト,,,
16,17,-1,Behind,サーブ,22,高梨,,,,,,,
16,17,-1,Behind,,,,,,レシーブ成功(優),10,藤中,,
16,17,-1,Behind,,,,,,アタック成功:,19,栗山,,
16,18,-2,Behind,,,,,,,得点,,,
16,18,-2,Behind,,,,,,ノータッチエース,8,柳田,,
16,18,-2,Behind,,チャレンジ失敗,,,,,,,,
16,19,-3,Behind,,,,,,,得点,,,
16,19,-3,Behind,,,,,,サーブ,8,柳田,,
16,19,-3,Behind,レシーブ失敗,1,山田,,,,,,,
16,19,-3,Behind,,3,クレク,,,,,,,
16,19,-3,Behind,,1,山田,,,,,,,
16,19,-3,Behind,,,,,,,10,藤中,,
16,19,-3,Behind,アタック成功:,3,クレク,,,,,,,
17,19,-2,Behind,,得点,,,,,,,,
17,19,-2,Behind,サーブ,6,近,,,,,,,
17,19,-2,Behind,,,,,,レシーブ失敗,10,藤中,,
17,19,-2,Behind,,3,クレク,,,,,,,
17,19,-2,Behind,アタック成功:,3,クレク,,,,,,,
18,19,-1,Behind,,得点,,,,,,,,
18,19,-1,Behind,サーブミス,6,近,,,,,,,
18,20,-2,Behind,,,,,,,得点,,,
18,20,-2,Behind,,,,,,メンバー交代:,IN:15,喜入,OUT:12,塩田
18,20,-2,Behind,,,,,,サービスエース,15,喜入,,
18,20,-2,Behind,レシーブ失敗,22,高梨,,,,,,,
18,21,-3,Behind,,,,,,,得点,,,
18,21,-3,Behind,,,,,,サーブ,15,喜入,,
18,21,-3,Behind,レシーブ成功(優),22,高梨,,,,,,,
18,21,-3,Behind,アタック成功:,3,クレク,,,,,,,
19,21,-2,Behind,,得点,,,,,,,,
19,21,-2,Behind,,,,,,メンバー交代:,IN:12,塩田,OUT:15,喜入
19,21,-2,Behind,サーブ,3,クレク,,,,,,,
19,21,-2,Behind,,,,,,レシーブ失敗,10,藤中,,
19,21,-2,Behind,,,,,,,10,藤中,,
19,21,-2,Behind,,,,,,アタック成功:,3,小野,,
19,22,-3,Behind,,,,,,,得点,,,
19,22,-3,Behind,,,,,,サーブ,9,大宅,,
19,22,-3,Behind,レシーブ成功(優),24,小川,,,,,,,
19,22,-3,Behind,,11,傳田,,,,,,,
19,22,-3,Behind,,,,,,,19,栗山,,
19,22,-3,Behind,アタック成功:,3,クレク,,,,,,,
20,22,-2,Behind,,得点,,,,,,,,
20,22,-2,Behind,サーブミス,1,山田,,,,,,,
20,23,-3,Behind,,,,,,,得点,,,
20,23,-3,Behind,,,,,,メンバー交代:,IN:20,西田,OUT:10,藤中
20,23,-3,Behind,,,,,,サーブ,20,西田,,
20,23,-3,Behind,レシーブ成功(優),24,小川,,,,,,,
20,23,-3,Behind,,22,高梨,,,,,,,
20,23,-3,Behind,,,,,,アタック失敗,8,柳田,,
21,23,-2,Behind,,得点,,,,,,,,
21,23,-2,Behind,,,,,,メンバー交代:,IN:10,藤中,OUT:20,西田
21,23,-2,Behind,メンバー交代:,IN:21,永露,OUT:11,傳田,,,,,
21,23,-2,Behind,サーブ,21,永露,,,,,,,
21,23,-2,Behind,,,,,,レシーブ成功(良),1,鶴田,,
21,23,-2,Behind,,,,,,アタック成功:,19,栗山,,
21,24,-3,Behind,,,,,,,得点,,,
21,24,-3,Behind,メンバー交代:,IN:11,傳田,OUT:21,永露,,,,,
21,24,-3,Behind,,,,,,サービスエース,3,小野,,
21,24,-3,Behind,レシーブ失敗,22,高梨,,,,,,,
21,25,-4,Behind,,,,,,,得点,,,
