得点,失点,+/-,L-B,状況,番号,選手,交代番号,交代選手,相手状況,相手番号,相手選手,相手交代番号,相手交代選手
8,12,-4,Behind,,得点,,,,,,,,
8,12,-4,Behind,サーブ,14,佐々木,,,,,,,
8,12,-4,Behind,,,,,,レシーブ成功(優),11,水杉,,
8,12,-4,Behind,,,,,,アタック成功:,2,大野,,
8,13,-5,Behind,,,,,,,得点,,,
8,13,-5,Behind,,,,,,サーブ,2,大野,,
8,13,-5,Behind,レシーブ成功(優),4,花井,,,,,,,
8,13,-5,Behind,アタック成功:,13,田中,,,,,,,
9,13,-4,Behind,,得点,,,,,,,,
9,13,-4,Behind,サーブ,13,田中,,,,,,,
9,13,-4,Behind,,,,,,レシーブ成功(優),9,黒後,,
9,13,-4,Behind,,,,,,アタック成功:,9,黒後,,
9,14,-5,Behind,,,,,,,得点,,,
9,14,-5,Behind,,,,,,メンバー交代:,IN:4,白井,OUT:9,黒後
9,14,-5,Behind,,,,,,メンバー交代:,IN:5,中田,OUT:10,関
9,14,-5,Behind,,,,,,サーブ,4,白井,,
9,14,-5,Behind,レシーブ成功(良),15,松本,,,,,,,
9,14,-5,Behind,アタック失敗,5,長野,,,,,,,
9,15,-6,Behind,,,,,,,得点,,,
9,15,-6,Behind,,,,,,サーブ,4,白井,,
9,15,-6,Behind,レシーブ成功(優),15,松本,,,,,,,
9,15,-6,Behind,,6,金杉,,,,,,,
9,15,-6,Behind,,,,,,,12,石川,,
9,15,-6,Behind,アタック成功:,6,金杉,,,,,,,
10,15,-5,Behind,,得点,,,,,,,,
10,15,-5,Behind,サーブ,6,金杉,,,,,,,
10,15,-5,Behind,,,,,,レシーブ失敗,5,中田,,
10,15,-5,Behind,,5,長野,,,,,,,
10,15,-5,Behind,,,,,,,5,中田,,
10,15,-5,Behind,アタック成功:,6,金杉,,,,,,,
11,15,-4,Behind,,得点,,,,,,,,
11,15,-4,Behind,サーブ,6,金杉,,,,,,,
11,15,-4,Behind,,,,,,レシーブ失敗,5,中田,,
11,15,-4,Behind,,,,,,,5,中田,,
11,15,-4,Behind,,,,,,,7,クラン,,
11,15,-4,Behind,,,,,,アタック成功:,7,クラン,,
11,16,-5,Behind,,,,,,,得点,,,
11,16,-5,Behind,,,,,,,テクニカルタイムアウト,,,
11,16,-5,Behind,,,,,,サーブ,7,クラン,,
11,16,-5,Behind,レシーブ成功(優),15,松本,,,,,,,
11,16,-5,Behind,,5,長野,,,,,,,
11,16,-5,Behind,,,,,,アタック成功:,5,中田,,
11,17,-6,Behind,,,,,,,得点,,,
11,17,-6,Behind,,タイムアウト,,,,,,,,
11,17,-6,Behind,,,,,,サーブ,7,クラン,,
11,17,-6,Behind,レシーブ失敗,15,松本,,,,,,,
11,17,-6,Behind,,15,松本,,,,,,,
11,17,-6,Behind,,,,,,,7,クラン,,
11,17,-6,Behind,,6,金杉,,,,,,,
11,17,-6,Behind,,,,,,アタック成功:,5,中田,,
11,18,-7,Behind,,,,,,,得点,,,
11,18,-7,Behind,メンバー交代:,IN:7,堀込,OUT:13,田中,,,,,
11,18,-7,Behind,メンバー交代:,IN:12,孫田,OUT:2,櫻井,,,,,
11,18,-7,Behind,,,,,,サーブ,7,クラン,,
11,18,-7,Behind,レシーブ成功(優),15,松本,,,,,,,
11,18,-7,Behind,,12,孫田,,,,,,,
11,18,-7,Behind,,,,,,ブロック成功,12,石川,,
11,19,-8,Behind,,,,,,,得点,,,
11,19,-8,Behind,,,,,,サーブ,7,クラン,,
11,19,-8,Behind,レシーブ失敗,15,松本,,,,,,,
11,19,-8,Behind,,15,松本,,,,,,,
11,19,-8,Behind,,,,,,アタック成功:,12,石川,,
11,20,-9,Behind,,,,,,,得点,,,
11,20,-9,Behind,,,,,,サーブ,7,クラン,,
11,20,-9,Behind,レシーブ失敗,15,松本,,,,,,,
11,20,-9,Behind,,,,,,アタック成功:,12,石川,,
11,21,-10,Behind,,,,,,,得点,,,
11,21,-10,Behind,,,,,,ノータッチエース,7,クラン,,
11,22,-11,Behind,,,,,,,得点,,,
11,22,-11,Behind,,,,,,サーブミス,7,クラン,,
12,22,-10,Behind,,得点,,,,,,,,
12,22,-10,Behind,サーブ,5,長野,,,,,,,
12,22,-10,Behind,,,,,,レシーブ失敗,5,中田,,
12,22,-10,Behind,その他ミス,6,金杉,,,,,,,
12,23,-11,Behind,,,,,,,得点,,,
12,23,-11,Behind,,,,,,メンバー交代:,IN:14,大崎,OUT:2,大野
12,23,-11,Behind,,,,,,サーブ,8,小川,,
12,23,-11,Behind,レシーブ失敗,15,松本,,,,,,,
12,23,-11,Behind,アタック成功:,15,松本,,,,,,,
13,23,-10,Behind,,得点,,,,,,,,
13,23,-10,Behind,メンバー交代:,IN:13,田中,OUT:7,堀込,,,,,
13,23,-10,Behind,サーブ,12,孫田,,,,,,,
13,23,-10,Behind,,,,,,レシーブ成功(優),12,石川,,
13,23,-10,Behind,,,,,,,14,大崎,,
13,23,-10,Behind,,14,佐々木,,,,,,,
13,23,-10,Behind,,,,,,,5,中田,,
13,23,-10,Behind,,,,,,,12,石川,,
13,23,-10,Behind,,,,,,,5,中田,,
13,23,-10,Behind,アタック成功:,13,田中,,,,,,,
14,23,-9,Behind,,得点,,,,,,,,
14,23,-9,Behind,サーブミス,12,孫田,,,,,,,
14,24,-10,Behind,,,,,,,得点,,,
14,24,-10,Behind,メンバー交代:,IN:2,櫻井,OUT:12,孫田,,,,,
14,24,-10,Behind,,,,,,サーブ,5,中田,,
14,24,-10,Behind,レシーブ成功(優),15,松本,,,,,,,
14,24,-10,Behind,アタック成功:,13,田中,,,,,,,
15,24,-9,Behind,,得点,,,,,,,,
15,24,-9,Behind,サーブ,15,松本,,,,,,,
15,24,-9,Behind,,,,,,レシーブ失敗,12,石川,,
15,24,-9,Behind,,,,,,アタック成功:,12,石川,,
15,25,-10,Behind,,,,,,,得点,,,
